,BoiteVitesse,PuissanceFiscale,Prix,NombreDePlaces,NombreDePortes,Cylindrée,Energie,NombreDeCylindres,Carrosserie,Marque,Modele
256,Manuelle,8 CV,84900 DT,3.0,2 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,2298 CM³,Diesel,4.0,Utilitaire,RENAULT, MASTER2.3 L 8M3
257,Manuelle,8 CV,87950 DT,3.0,2 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,2298 CM³,Diesel,4.0,Utilitaire,RENAULT, MASTER2.3 L 10.8 M3
258,Manuelle,8 CV,89950 DT,3.0,2 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,2298 CM³,Diesel,4.0,Utilitaire,RENAULT, MASTER2.3 L 13 M3
259,Automatique,6 CV,78990 DT,5.0,4,1498 CM³,Essence,4.0,Berline,HONDA, CITY1.5 L CVT LX
260,Automatique,6 CV,82990 DT,5.0,4,1498 CM³,Essence,4.0,Berline,HONDA, CITY1.5 L CVT LX SPORT +1.5 L CVT LX SPORT
261,Automatique,6 CV,82990 DT,5.0,4,1498 CM³,Essence,4.0,Berline,HONDA, CITY1.5 L CVT LX SPORT +1.5 L CVT LX SPORT
262,Automatique,5 CV,85990 DT,5.0,5,1498 CM³,Essence | Hybride,4.0,Citadine,HONDA, JAZZ1.5 L E-HEV
263,Automatique,7 CV,127900 DT,5.0,5,1498 CM³,Essence,4.0,SUV,HONDA, HR-V1.5 L CVT EX
264,Automatique,10 CV,159990 DT,5.0,4,1498 CM³,Essence,4.0,Berline,HONDA, CIVIC1.5 L CVT
265,Automatique,7 CV,186990 DT,5.0,4,1993 CM³,Essence | Hybride,4.0,Berline,HONDA, CIVIC HYBRIDE2.0 L E-HEV
266,5 AV + 1 AR,8 CV,53906 DT,2.0,2,,,4.0,,ISUZU, DMAX 2P4X2
267,5 AV + 1 AR,8 CV,64902 DT,5.0,4,,,4.0,,ISUZU, DMAX 4P4X2
268,5 AV + 1 AR,8 CV,73517 DT,5.0,4,,,4.0,,ISUZU, DMAX 4P4X4
269,Manuelle,4 CV,34662 DT,5.0,4,1193 CM³,Essence,3.0,Berline,MITSUBISHI, ATTRAGE POPULAIRE1.2 L GLX BVM
270,Automatique,8 CV,107000 DT,5.0,5,1499 CM³,Essence,4.0,SUV,MITSUBISHI, ECLIPSE CROSS1.5 T-MIVEC CVT
271,Automatique,9 CV,131700 DT,5.0,5,1998 CM³,Essence,4.0,SUV,MITSUBISHI, ASX2.0 L BVA
272,Manuelle,8 CV,155000 DT,5.0,4,2477 CM³,Diesel,4.0,Pick up,MITSUBISHI, L200 DOUBLE CABINE2.5 L DID GL
273,Manuelle,11 CV,196500 DT,7.0,5,2835 CM³,Diesel,4.0,SUV,MITSUBISHI, PAJERO 2.8 L
274,Manuelle,11 CV,243500 DT,7.0,5,2442 CM³,Diesel,4.0,SUV,MITSUBISHI, PAJERO SPORT2.4 L DID BUSINESS
275,Automatique,11 CV,267700 DT,7.0,5,2442 CM³,Diesel,4.0,SUV,MITSUBISHI, PAJERO SPORT2.4 L DID PREMIUM BVA
276,Automatique,12 CV,350000 DT,5.0,5,1998 CM³,Diesel,4.0,SUV,JAGUAR, E-PACE2.0 D 163 R-DYNAMIC S
277,Automatique,16 CV,399000 DT,5.0,5,1997 CM³,Essence,4.0,SUV,JAGUAR, F-PACE2.0 T 250 R-DYNAMIC S
278,Manuelle,6 CV,116800 DT,5.0,4,1855 CM³,Diesel,4.0,Pick up,FODAY, F22 MAX1.9 L TID4 LUXURY
279,Manuelle,6 CV,62990 DT,5.0,5,1498 CM³,Essence,4.0,Citadine,MG, MOTORS 31.5 L CONFORT PLUS
280,Automatique,7 CV,68990 DT,5.0,5,1498 CM³,Essence,4.0,Citadine,MG, MOTORS 31.5 L CONFORT PLUS BVA
281,Manuelle,6 CV,63950 DT,5.0,4,1498 CM³,Essence,4.0,Berline,MG, MOTORS 51.5 L CONFORT
282,Manuelle,6 CV,66950 DT,5.0,4,1498 CM³,Essence,4.0,Berline,MG, MOTORS 51.5 L CONFORT PLUS
283,Automatique,7 CV,71950 DT,5.0,4,1498 CM³,Essence,4.0,Berline,MG, MOTORS 51.5 L LUXE BVA
284,Manuelle,7 CV,80950 DT,5.0,4,1498 CM³,Essence,4.0,Berline,MG, MOTORS GT1.5 L LUXURY BVM
285,Automatique,7 CV,85950 DT,5.0,4,1498 CM³,Essence,4.0,Berline,MG, MOTORS GT1.5 L CVT LUXURY
286,Automatique,9 CV,94950 DT,5.0,4,1498 CM³,Essence,4.0,Berline,MG, MOTORS GT1.5 T SPORT 7DCT
287,Manuelle,7 CV,80990 DT,5.0,5,1498 CM³,Essence,4.0,SUV,MG, MOTORS ZS1.5 L LUXURY
288,Automatique,7 CV,86900 DT,5.0,5,1498 CM³,Essence,4.0,SUV,MG, MOTORS ZS1.5 L LUXURY BVA
289,Automatique,9 CV,95900 DT,5.0,5,1349 CM³,Essence,3.0,SUV,MG, MOTORS ZS1.3 T TROPHY BVA
290,Automatique,10 CV,103950 DT,5.0,5,1490 CM³,Essence,4.0,SUV,MG, MOTORS ONE1.5 L LUXURY+ BVA
291,Automatique,10 CV,113950 DT,5.0,5,1490 CM³,Essence,4.0,SUV,MG, MOTORS RX51.5 L PERFORMANCE BVA
292,,8 CV,116950 DT,5.0,5,,Electrique,,,MG, MOTORS E-ZSELECTRIQUE
293,Automatique,9 CV,149950 DT,5.0,5,1490 CM³,Essence | Hybride rechargeable,4.0,SUV,MG, MOTORS E-HS1.5 L HYBRIDE RECHARGEABLE LUXURY PLUS
294,Automatique,16 CV,174900 DT,7.0,5,1995 CM³,Essence,4.0,SUV,MG, MOTORS RX82.0 T AWD LUXE PLUS
295,Automatique,17 CV,424000 DT,5.0,5,1984 CM³,Essence,4.0,SUV,PORSCHE, MACAN2.0 L 265 CH PDK
296,,,463000 DT,,,,,,,PORSCHE, TAYCAN2S
297,Automatique,16 CV,540000 DT,5.0,5,,Electrique,,Berline,PORSCHE, TAYCAN CROSS TURISMO4
298,Automatique,N.C,600000 DT,5.0,5,2995 CM³,Essence | Hybride rechargeable,6.0,SUV,PORSCHE, CAYENNE3.0 L V6 TIPTRONIC S E-HYBRID
299,Automatique,23 CV,615000 DT,5.0,5,2995 CM³,Essence | Hybride rechargeable,6.0,SUV,PORSCHE, CAYENNE COUPÉ3.0 V6 TIPTRONIC S E-HYBRID
300,Automatique,26 CV,845000 DT,4.0,2,2981 CM³,Essence,6.0,Coupé,PORSCHE, 911CARRERA
301,Manuelle,6 CV,82900 DT,5.0,5,1499 CM³,Essence,4.0,SUV,SOUEAST, DX31.5 L
302,Automatique,8 CV,96900 DT,5.0,5,1499 CM³,Essence,4.0,SUV,SOUEAST, DX31.5 T BVA
303,Automatique,9 CV,124900 DT,5.0,5,1480 CM³,Essence,4.0,SUV,SOUEAST, DX71.5 T GDI DCT
304,Manuelle,5 CV,57450 DT,5.0,5,999 CM³,Essence,3.0,Citadine,DACIA, SANDERO1.0 L TCE
305,Manuelle,5 CV,61500 DT,5.0,4,999 CM³,Essence,3.0,Berline,DACIA, LOGAN1.0 L TCE
306,Manuelle,5 CV,62500 DT,5.0,4,999 CM³,Essence,3.0,Berline,DACIA, LOGAN1.0 L TCE ÉCRAN TACTILE
307,Manuelle,6 CV,63000 DT,5.0,5,999 CM³,Essence,3.0,SUV,DACIA, SANDERO STEPWAY1.0 L
308,Automatique,6 CV,72990 DT,5.0,5,999 CM³,Essence,3.0,SUV,DACIA, SANDERO STEPWAY1.0 L BVA
309,Manuelle,5 CV,88700 DT,5.0,5,1461 CM³,Diesel,4.0,SUV,DACIA, DUSTER1.5 L DCI 4X2 CONFORT
310,Manuelle,6 CV,98500 DT,5.0,5,1461 CM³,Diesel,4.0,SUV,DACIA, DUSTER1.5 L DCI 4X4 CONFORT
311,Automatique,6 CV,101350 DT,5.0,5,1461 CM³,Diesel,4.0,SUV,DACIA, DUSTER1.5 L DCI 4X2 CONFORT BVA
312,Automatique,11 CV,198000 DT,5.0,4,1995 CM³,Essence,4.0,Berline,ALFA ROMEO, GIULIA 2.0 TURBO SUPER BVA
313,Automatique,17 CV,265000 DT,5.0,5,1995 CM³,Essence,4.0,SUV,ALFA ROMEO, STELVIO2.0 TURBO BVA Q4
314,Manuelle,6 CV,72900 DT,5.0,5,999 CM³,Essence,3.0,Citadine,SEAT, IBIZA1.0 L TSI STYLE
315,Automatique,6 CV,72900 DT,5.0,5,999 CM³,Essence,3.0,Citadine,SEAT, IBIZA1.0 L TSI REFERENCE BVA
316,Automatique,6 CV,84980 DT,5.0,5,999 CM³,Essence,3.0,Citadine,SEAT, IBIZA1.0 L TSI XCELLENCE BVA
317,Automatique,6 CV,87980 DT,5.0,5,999 CM³,Essence,3.0,Citadine,SEAT, IBIZA1.0 L TSI FR BVA
318,Automatique,6 CV,87900 DT,5.0,5,999 CM³,Essence,3.0,SUV,SEAT, ARONA1.0 TSI STYLE
319,Automatique,6 CV,94980 DT,5.0,5,999 CM³,Essence,3.0,SUV,SEAT, ARONA1.0 TSI XPERIENCE
320,Automatique,6 CV,97980 DT,5.0,5,999 CM³,Essence,3.0,SUV,SEAT, ARONA1.0 TSI FR
321,Automatique,8 CV,99900 DT,5.0,5,1395 CM³,Essence,4.0,Compacte,SEAT, LEON1.4 TSI DYNAMIC
322,Automatique,8 CV,118900 DT,5.0,5,1395 CM³,Essence,4.0,Compacte,SEAT, LEON1.4 TSI FR
323,Automatique,8 CV,121980 DT,5.0,5,1395 CM³,Essence,4.0,SUV,SEAT, ATECA1.4 L TSI STYLE
324,Automatique,8 CV,132980 DT,5.0,5,1395 CM³,Essence,4.0,SUV,SEAT, ATECA1.4 L TSI XPERIENCE
325,Automatique,8 CV,137980 DT,5.0,5,1395 CM³,Essence,4.0,SUV,SEAT, ATECA1.4 L TSI FR
326,Automatique,9 CV,166900 DT,5.0,5,1395 CM³,Essence,4.0,SUV,SEAT, TARRACO1.4 L TSI FR BVA
327,Automatique,9 CV,170000 DT,5.0,5,1969 CM³,Essence | Hybride léger,4.0,SUV,VOLVO, XC402.0 L PLUS DARK
328,Automatique,9 CV,195000 DT,5.0,5,1969 CM³,Essence | Hybride léger,4.0,SUV,VOLVO, XC402.0 L ULTIMATE DARK +2.0 L ULTIMATE DARK
329,Automatique,9 CV,195000 DT,5.0,5,1969 CM³,Essence | Hybride léger,4.0,SUV,VOLVO, XC402.0 L ULTIMATE DARK +2.0 L ULTIMATE DARK
330,Automatique,11 CV,194900 DT,5.0,4,1969 CM³,Essence | Hybride léger,4.0,Berline,VOLVO, S602.0 L PLUS DARK
331,Automatique,11 CV,214900 DT,5.0,4,1969 CM³,Essence | Hybride léger,4.0,Berline,VOLVO, S602.0 L ULTIMATE DARK
332,Automatique,N.C,199900 DT,5.0,5,,Electrique,,SUV,VOLVO, XC40 RECHARGEULTIMATE SINGLE MOTOR
333,Automatique,N.C,229900 DT,5.0,5,,Electrique,,SUV,VOLVO, XC40 RECHARGEULTIMATE TWIN MOTOR
334,Automatique,N.C,199900 DT,5.0,5,,Electrique,,SUV,VOLVO, C40 RECHARGEPLUS SINGLE MOTOR
335,Automatique,N.C,229900 DT,5.0,5,,Electrique,,SUV,VOLVO, C40 RECHARGEULTIMATE TWIN MOTOR
336,Automatique,15 CV,244900 DT,5.0,4,1969 CM³,Essence | Hybride léger,4.0,Berline,VOLVO, S902.0 L PLUS DARK
337,Automatique,15 CV,269900 DT,5.0,4,1969 CM³,Essence | Hybride léger,4.0,Berline,VOLVO, S902.0 L ULTIMATE BRIGHT
338,Automatique,15 CV,269900 DT,5.0,5,1969 CM³,Essence | Hybride léger,4.0,SUV,VOLVO, XC602.0 L PLUS DARK
339,Automatique,15 CV,299900 DT,5.0,5,1969 CM³,Essence | Hybride léger,4.0,SUV,VOLVO, XC602.0 L ULTIMATE DARK
340,Automatique,20 CV,354900 DT,5.0,5,1969 CM³,Essence | Hybride rechargeable,4.0,SUV,VOLVO, XC602.0 L RECHARGE ULTIMATE BRIGHT
341,Automatique,19 CV,384900 DT,7.0,5,1969 CM³,Essence | Hybride léger,4.0,SUV,VOLVO, XC902.0 L ULTIMATE BRIGHT
342,Automatique,20 CV,449900 DT,7.0,5,1969 CM³,Essence | Hybride rechargeable,4.0,SUV,VOLVO, XC902.0 L RECHARGE ULTIMATE BRIGHT
343,Automatique,6 CV,68800 DT,5.0,5,1498 CM³,Essence,4.0,SUV,GEELY, GX3 PRO1.5 L CVT
344,Automatique,10 CV,86800 DT,5.0,5,1477 CM³,Essence,3.0,SUV,GEELY, COOLRAY1.5 L TURBO GS
345,Automatique,10 CV,98800 DT,5.0,5,1477 CM³,Essence,3.0,SUV,GEELY, COOLRAY1.5 L TURBO GF
346,Automatique,9 CV,122900 DT,5.0,5,1477 CM³,Essence | Hybride léger,3.0,SUV,GEELY, AZKARRA1.5 L TURBO HYBRID 4WD
347,Automatique,8 CV,126500 DT,5.0,5,1368 CM³,Essence,4.0,SUV,JEEP, RENEGADE1.4 TURBO 4X2 LIMITED BVA
