,Energie,Annee,Kilometrage,PuissanceFiscale,BoiteVitesse,Prix,Marque,Modele
313,Diesel,2012.0,270000 KM,7 CV,Boîte 5,37 500 DT,SSANGYONG,ACTYON
314,Essence,2015.0,187 KM,6 CV,Boîte 5,37 000 DT,MAZDA,3 HATCHBACK
315,Essence,2018.0,128000 KM,7 CV,Boîte 5,37 000 DT,CHEVROLET,CRUZE
316,Essence,2015.0,155 KM,6 CV,Boîte 5,36 000 DT,,
317,Essence,2016.0,68000 KM,7 CV,Boîte 5,36 500 DT,BAIC,KENBO S2
318,Essence,2019.0,68000 KM,6h CV,Boîte 5,37 000 DT,DONGFENG,S50
319,Essence,2018.0,96000 KM,5 CV,Boîte 5,38 000 DT,CITROEN,C3
320,Essence,2015.0,142000 KM,6 CV,Boîte 5,36 000 DT,CITROEN,C4
321,Essence,2020.0,78500 KM,5 CV,Automatique,37 500 DT,,
322,Essence,2020.0,69500 KM,04 CV,Boîte 5,37 400 DT,KIA,PICANTO
