,Unnamed: 0,Kilometrage,Annee,Energie,BoiteVitesse,PuissanceFiscale,Carrosserie,Prix,Couleur,Marque,Modele
268,268,115000,7.2017,Essence,Automatique,9,SUV/4x4,62000,Noir,MG,GS AWD
269,269,5000,8.2023,Essence,Manuelle,7,SUV/4x4,82500,Gris Shark,FORD,ECOSPORT
270,270,153000,10.2016,Essence,Automatique,8,Berline,120000,Blanc,MERCEDES-BENZ,CLASSE C
271,271,160000,1.2008,Essence,Manuelle,20,Berline,65000,Gris Shark,BMW,SERIE 7
272,272,84000,1.2019,Essence,Automatique,6,Citadine,81000,Blanc,MERCEDES-BENZ,CLASSE A
273,273,106000,6.2017,Essence,Automatique,7,SUV/4x4,115000,Noir,BMW,X1
274,274,28000,2.2021,Essence,Automatique,7,SUV/4x4,76900,Blanc,MG,ZS
275,275,122000,7.2014,Essence,Automatique,21,SUV/4x4,180000,Blanc,PORSCHE,CAYENNE
276,276,100000,12.2016,Essence,Automatique,8,SUV/4x4,77000,Noir,KIA,SPORTAGE
277,277,120000,10.2017,Essence,Manuelle,6,SUV/4x4,68000,Gris Shark,NISSAN,JUKE
278,278,60000,1.2022,Essence,Manuelle,5,Citadine,50000,Gris argent,HYUNDAI,I10
279,279,20000,10.2022,Essence,Manuelle,5,Berline,52000,Gris anthracite,HYUNDAI,I10
280,280,70000,3.2018,Essence,Automatique,6,SUV/4x4,72000,Blanc,NISSAN,QASHQAI
281,281,140000,10.2019,Essence,Automatique,7,Berline,130000,Bleu,BMW,SERIE 4
282,282,91000,3.2018,Essence,Manuelle,5,Coupé,33900,Blanc,DS,3
283,283,93000,3.2017,Essence,Manuelle,4,Coupé,28500,Noir,FIAT,PUNTO
284,284,196000,2.2008,Diesel,Automatique,13,SUV/4x4,88000,Gris anthracite,LAND ROVER,RANGE ROVER
285,285,175000,4.2011,Diesel,Automatique,9,Berline,55000,Noir,MERCEDES-BENZ,CLASSE E
286,286,36000,7.2019,Essence,Manuelle,7,Berline,70000,Gris argent,RENAULT,MEGANE
287,287,87000,5.202,Diesel,Automatique,6,Berline,125000,Bleu,MERCEDES-BENZ,CLASSE A
288,288,50000,1.2019,Essence,Manuelle,6,Citadine,119000,Aubergine,MERCEDES-BENZ,CLASSE A
289,289,23000,10.2021,Essence,Manuelle,6,Berline,53000,Rouge,MG,5
290,290,30000,11.2021,Essence,Manuelle,6,Citadine,58000,Blanc,MG,3
291,291,92000,1.2018,Essence,Automatique,9,SUV/4x4,86000,Blanc,PEUGEOT,3008
292,292,100000,10.2016,Essence,Automatique,7,Berline,93000,Blanc,MERCEDES-BENZ,CLA
293,293,120000,4.2016,Essence,Automatique,9,Berline,118000,Noir,BMW,SERIE 5
294,294,234000,8.2003,Essence,Automatique,27,SUV/4x4,55000,Gris argent,PORSCHE,CAYENNE
295,295,188000,9.2009,Essence,Automatique,9,Monospace,35000,Noir,VOLKSWAGEN,SCIROCCO
296,296,14000,12.2022,Essence,Automatique,10,Berline,235000,Blanc,BMW,SERIE 3
297,297,26000,12.202,Essence,Manuelle,5,Citadine,51000,Blanc,CITROEN,C3
298,298,180000,5.2011,Essence,Automatique,12,Coupé,56000,Noir,MERCEDES-BENZ,CLASSE E
299,299,19000,6.2022,Hybride (essence),Automatique,21,SUV/4x4,480000,Gris anthracite,PORSCHE,CAYENNE
300,300,80000,7.2019,Diesel,Automatique,9,Citadine,148000,Gris anthracite,MERCEDES-BENZ,CLASSE C
301,301,15000,1.2022,Essence,Automatique,8,Citadine,172000,Gris Shark,MERCEDES-BENZ,CLASSE A
